'Elapsed time','ABP'
seconds','mmhg'
0.000,122.015
0.020,111.847
0.040,102.426
0.060,92.805
0.080,86.097
0.100,82.588
0.120,80.845
0.140,81.306
0.160,82.289
0.180,83.061
0.200,83.795
0.220,83.310
0.240,81.393
0.260,78.543
0.280,75.519
0.300,72.507
0.320,70.217
0.340,68.263
0.360,66.010
0.380,64.791
0.400,71.325
0.420,100.870
0.440,125.064
0.460,139.376
0.480,144.653
0.500,140.310
0.520,133.664
0.540,125.711
0.560,115.618
0.580,105.276
0.600,96.016
0.620,88.176
0.640,82.824
0.660,80.933
0.680,80.920
0.700,81.679
0.720,83.110
0.740,83.820
0.760,83.795
0.780,82.463
0.800,79.800
0.820,76.452
0.840,73.689
0.860,70.839
0.880,68.823
0.900,66.533
0.920,65.264
0.940,70.976
0.960,100.210
0.980,123.322
1.000,137.845
1.020,142.848
1.040,138.530
1.060,132.469
1.080,124.541
1.100,114.149
1.120,103.944
1.140,94.398
1.160,86.197
1.180,81.542
1.200,80.012
1.220,80.061
1.240,81.393
1.260,82.750
1.280,83.272
1.300,83.272
1.320,81.878
1.340,78.667
1.360,75.481
1.380,72.519
1.400,70.117
1.420,67.491
1.440,65.202
1.460,64.231
1.480,74.424
1.500,104.940
1.520,125.114
1.540,137.945
1.560,141.007
1.580,135.767
1.600,127.951
1.620,118.966
1.640,108.599
1.660,98.132
1.680,89.022
1.700,82.799
1.720,79.837
1.740,78.904
1.760,80.248
1.780,82.077
1.800,83.235
1.820,83.310
1.840,82.799
1.860,80.708
1.880,78.543
1.900,74.984
1.920,72.146
1.940,69.856
1.960,67.952
1.980,66.359
2.000,66.508
2.020,81.107
2.040,112.706
2.060,130.577
2.080,141.380
2.100,142.102
2.120,136.451
2.140,128.026
2.160,118.032
2.180,107.678
2.200,97.460
2.220,89.146
2.240,82.924
2.260,80.435
2.280,80.746
2.300,81.206
2.320,82.613
2.340,83.671
2.360,83.832
2.380,83.235
2.400,81.119
2.420,77.958
2.440,74.623
2.460,71.661
2.480,69.744
2.500,67.641
2.520,65.774
2.540,68.437
2.560,92.445
2.580,120.708
2.600,135.531
2.620,144.317
2.640,142.201
2.660,135.755
2.680,127.391
2.700,117.970
2.720,108.400
2.740,97.647
2.760,89.171
2.780,83.695
2.800,81.517
2.820,81.269
2.840,81.928
2.860,82.949
2.880,83.932
2.900,83.944
2.920,82.750
2.940,80.621
2.960,77.224
2.980,73.938
3.000,71.661
3.020,69.744
3.040,67.541
3.060,66.458
3.080,73.590
3.100,102.836
3.120,125.923
3.140,138.443
3.160,144.342
3.180,140.621
3.200,133.228
3.220,124.379
3.240,114.535
3.260,103.197
3.280,93.652
3.300,86.583
3.320,82.414
3.340,80.858
3.360,81.381
3.380,83.061
3.400,84.430
3.420,85.251
3.440,85.251
3.460,83.048
3.480,79.850
3.500,76.514
3.520,73.241
3.540,70.789
3.560,68.537
3.580,67.056
3.600,67.740
3.620,84.479
3.640,115.307
3.660,131.287
3.680,141.679
3.700,141.479
3.720,135.493
3.740,128.014
3.760,119.015
3.780,109.109
3.800,98.953
3.820,89.682
3.840,84.591
3.860,81.256
3.880,80.746
3.900,81.368
3.920,82.227
3.940,83.571
3.960,83.944
3.980,82.849
4.000,80.310
4.020,78.356
4.040,74.523
4.060,71.686
4.080,69.458
4.100,67.516
4.120,66.670
4.140,74.473
4.160,104.728
4.180,126.259
4.200,138.853
4.220,142.662
4.240,137.845
4.260,130.117
4.280,120.957
4.300,110.851
4.320,100.634
4.340,91.300
4.360,84.392
4.380,80.758
4.400,79.974
4.420,80.385
4.440,82.140
4.460,83.671
4.480,84.280
4.500,84.019
4.520,82.588
4.540,79.626
4.560,76.527
4.580,73.839
4.600,71.175
4.620,68.761
4.640,67.230
4.660,69.284
4.680,91.822
4.700,120.397
4.720,135.916
4.740,145.226
4.760,142.811
4.780,136.103
4.800,127.727
4.820,118.530
4.840,109.134
4.860,98.207
4.880,89.931
4.900,85.226
4.920,82.302
4.940,81.878
4.960,83.123
4.980,83.994
5.000,85.251
5.020,85.674
5.040,84.479
5.060,82.127
5.080,78.730
5.100,75.083
5.120,71.748
5.140,69.284
5.160,67.255
5.180,65.550
5.200,70.740
5.220,99.464
5.240,123.409
5.260,138.020
5.280,143.844
5.300,139.277
5.320,133.029
5.340,124.603
5.360,113.477
5.380,103.334
5.400,94.038
5.420,86.645
5.440,82.040
5.460,79.850
5.480,80.186
5.500,81.356
5.520,82.302
5.540,83.334
5.560,83.621
5.580,81.480
5.600,78.667
5.620,75.544
5.640,72.308
5.660,69.856
5.680,67.491
5.700,65.662
5.720,66.720
5.740,87.168
5.760,116.738
5.780,132.046
5.800,141.268
5.820,139.812
5.840,133.328
5.860,124.852
5.880,115.269
5.900,105.077
5.920,94.946
5.940,86.508
5.960,80.758
5.980,78.356
6.000,77.995
6.020,78.929
6.040,80.796
6.060,82.028
6.080,82.202
6.100,81.082
6.120,78.680
6.140,75.581
6.160,71.847
6.180,68.972
6.200,66.508
6.220,64.729
6.240,64.119
6.260,75.556
6.280,106.869
6.300,125.910
6.320,138.293
6.340,141.069
6.360,135.630
6.380,127.541
6.400,118.144
6.420,108.823
6.440,98.107
6.460,88.437
6.480,82.538
6.500,79.476
6.520,78.543
6.540,79.414
6.560,80.870
6.580,82.289
6.600,82.899
6.620,82.389
6.640,80.012
6.660,77.286
6.680,73.963
6.700,71.138
6.720,68.836
6.740,67.006
6.760,65.587
6.780,70.279
6.800,96.875
6.820,122.550
6.840,137.323
6.860,144.242
6.880,139.862
6.900,132.730
6.920,122.948
6.940,112.668
6.960,101.965
6.980,91.511
7.000,84.853
7.020,81.157
7.040,78.854
7.060,78.779
7.080,80.397
7.100,81.841
7.120,82.824
7.140,82.824
7.160,81.393
7.180,78.667
7.200,75.905
7.220,72.582
7.240,70.254
7.260,67.915
7.280,66.322
7.300,67.081
7.320,86.359
7.340,116.203
7.360,132.531
7.380,142.649
7.400,140.857
7.420,134.473
7.440,126.483
7.460,116.601
7.480,106.222
7.500,96.103
7.520,87.305
7.540,82.090
7.560,79.389
7.580,78.767
7.600,79.427
7.620,81.281
7.640,82.239
7.660,82.700
7.680,81.517
7.700,79.215
7.720,76.104
7.740,73.527
7.760,70.329
7.780,68.002
7.800,66.073
7.820,66.309
7.840,79.277
7.860,109.905
7.880,127.416
7.900,138.567
7.920,139.911
7.940,133.850
7.960,125.039
7.980,115.257
8.000,104.778
8.020,94.162
8.040,85.488
8.060,79.588
8.080,76.427
8.100,76.502
8.120,77.137
8.140,78.045
8.160,79.389
8.180,80.659
8.200,80.348
8.220,79.066
8.240,76.726
8.260,73.042
8.280,69.943
8.300,67.404
8.320,65.388
8.340,63.559
8.360,62.538
8.380,67.454
8.400,94.436
8.420,117.796
8.440,131.511
8.460,137.895
8.480,132.631
8.500,124.989
8.520,115.469
8.540,104.330
8.560,93.664
8.580,85.102
8.600,78.717
8.620,75.494
8.640,75.071
8.660,76.452
8.680,78.456
8.700,80.012
8.720,80.845
8.740,80.012
8.760,78.555
8.780,76.776
8.800,74.959
8.820,73.067
8.840,70.777
8.860,68.251
8.880,66.110
8.900,63.310
8.920,61.505
8.940,60.124
8.960,59.265
8.980,60.597
9.000,77.722
9.020,108.935
9.040,125.624
9.060,138.007
9.080,139.501
9.100,133.017
9.120,126.221
9.140,114.958
9.160,104.479
9.180,94.137
9.200,85.326
9.220,79.837
9.240,76.477
9.260,76.340
9.280,77.311
9.300,78.643
9.320,79.688
9.340,80.659
9.360,79.128
9.380,77.423
9.400,75.183
9.420,73.067
9.440,71.698
9.460,69.284
9.480,67.081
9.500,64.928
9.520,62.800
9.540,60.908
9.560,60.136
9.580,59.203
9.600,61.729
9.620,84.094
9.640,113.179
9.660,128.524
9.680,139.774
9.700,139.077
9.720,133.962
9.740,126.645
9.760,116.974
9.780,107.640
9.800,97.485
9.820,89.072
9.840,83.023
9.860,79.003
9.880,77.946
9.900,78.443
9.920,79.215
9.940,79.800
9.960,80.435
9.980,79.277
10.000,77.796
10.020,76.477
10.040,74.312
10.060,71.922
10.080,69.856
10.100,67.292
10.120,64.529
10.140,62.737
10.160,61.107
10.180,59.775
10.200,61.207
10.220,79.887
10.240,109.246
10.260,125.524
10.280,137.186
10.300,137.136
10.320,132.145
10.340,124.939
10.360,116.091
10.380,106.856
10.400,96.688
10.420,87.255
10.440,81.020
10.460,76.913
10.480,75.419
10.500,76.166
10.520,77.373
10.540,78.555
10.560,78.605
10.580,77.622
10.600,76.041
10.620,74.635
10.640,73.216
10.660,71.300
10.680,69.184
10.700,66.695
10.720,64.330
10.740,62.501
10.760,61.393
10.780,60.422
10.800,63.621
10.820,87.354
10.840,114.087
10.860,128.984
10.880,138.393
10.900,136.626
10.920,130.664
10.940,123.720
10.960,111.411
10.980,101.741
11.000,91.660
11.020,83.870
11.040,79.588
11.060,77.037
11.080,77.261
11.100,78.269
11.120,79.414
11.140,79.949
11.160,79.476
11.180,78.506
11.200,76.751
11.220,75.096
11.240,73.117
11.260,70.814
11.280,68.176
11.300,65.824
11.320,63.795
11.340,62.028
11.360,60.933
11.380,60.696
11.400,68.176
11.420,101.069
11.440,121.878
11.460,135.767
11.480,141.056
11.500,137.236
11.520,131.685
11.540,123.633
11.560,114.535
11.580,104.093
11.600,94.473
11.620,86.794
11.640,81.468
11.660,78.493
11.680,77.995
11.700,78.443
11.720,79.464
11.740,80.260
11.760,80.310
11.780,79.339
11.800,77.809
11.820,75.942
11.840,73.627
11.860,71.225
11.880,69.035
11.900,66.521
11.920,64.231
11.940,62.389
11.960,60.783
11.980,62.277
12.000,81.256
12.020,111.013
12.040,126.956
12.060,138.853
12.080,139.787
12.100,134.709
12.120,127.802
12.140,118.219
12.160,108.698
12.180,98.543
12.200,89.831
12.220,83.882
12.240,79.489
12.260,77.958
12.280,78.132
12.300,79.066
12.320,80.086
12.340,79.987
12.360,79.140
12.380,77.896
12.400,76.216
12.420,74.660
12.440,72.345
12.460,69.458
12.480,66.483
12.500,63.770
12.520,62.364
12.540,60.796
12.560,60.248
12.580,69.333
12.600,98.829
12.620,119.675
12.640,132.830
12.660,139.127
12.680,134.896
12.700,128.287
12.720,119.588
12.740,109.681
12.760,99.563
12.780,89.943
12.800,82.650
12.820,78.543
12.840,77.037
12.860,77.323
12.880,78.767
12.900,80.086
12.920,80.410
12.940,80.385
12.960,79.066
12.980,78.008
13.000,76.303
13.020,74.088
13.040,71.835
13.060,69.346
13.080,67.093
13.100,64.853
13.120,63.384
13.140,62.376
13.160,65.127
13.180,89.819
13.200,116.912
13.220,131.448
13.240,140.621
13.260,138.517
13.280,132.120
13.300,123.396
13.320,113.714
13.340,104.056
13.360,94.013
13.380,85.736
13.400,80.758
13.420,78.867
13.440,77.883
13.460,78.829
13.480,79.974
13.500,80.285
13.520,80.236
13.540,78.954
13.560,77.373
13.580,75.830
13.600,73.888
13.620,71.598
13.640,68.898
13.660,66.334
13.680,64.592
13.700,62.787
13.720,61.418
13.740,60.746
13.760,68.263
13.780,98.381
13.800,121.343
13.820,135.730
13.840,142.600
13.860,139.750
13.880,134.124
13.900,126.483
13.920,117.460
13.940,108.051
13.960,97.236
13.980,89.010
14.000,82.998
14.020,79.800
14.040,79.265
14.060,79.788
14.080,80.696
14.100,81.269
14.120,81.007
14.140,79.937
14.160,78.518
14.180,76.701
14.200,74.548
14.220,71.499
14.240,69.196
14.260,66.745
14.280,64.729
14.300,63.136
14.320,61.928
14.340,61.294
14.360,76.303
14.380,107.703
14.400,125.363
14.420,138.654
14.440,142.288
14.460,137.808
14.480,131.511
14.500,123.371
14.520,114.187
14.540,104.405
14.560,94.398
14.580,86.458
14.600,81.717
14.620,79.078
14.640,79.115
14.660,79.564
14.680,80.509
14.700,80.509
14.720,80.061
14.740,79.103
14.760,77.672
14.780,75.929
14.800,73.639
14.820,71.138
14.840,68.276
14.860,66.073
14.880,64.057
14.900,62.414
14.920,61.356
14.940,63.957
14.960,88.599
14.980,116.228
15.000,130.590
15.020,139.675
15.040,138.157
15.060,132.021
15.080,124.429
15.100,115.456
15.120,105.749
15.140,96.054
15.160,87.740
15.180,81.356
15.200,78.319
15.220,77.933
15.240,78.829
15.260,80.161
15.280,80.771
15.300,80.796
15.320,79.875
15.340,79.078
15.360,76.987
15.380,75.656
15.400,73.503
15.420,70.590
15.440,68.213
15.460,66.172
15.480,64.716
15.500,63.808
15.520,64.977
15.540,83.384
15.560,113.527
15.580,129.980
15.600,140.422
15.620,140.235
15.640,133.427
15.660,125.164
15.680,116.377
15.700,105.898
15.720,96.004
15.740,87.715
15.760,82.077
15.780,79.588
15.800,78.804
15.820,78.916
15.840,80.198
15.860,80.821
15.880,81.007
15.900,80.049
15.920,78.979
15.940,77.522
15.960,75.033
15.980,72.096
16.000,69.346
16.020,66.770
